curr,dest,arrival_time,end_time,wait_time
1,4,23679.6611986751,23731,51.33880132489867
1,5,23692.486914718538,23743,50.51308528146183
3,6,23837.229344811945,23892,54.77065518805466
1,9,23857.789947887733,23934,76.21005211226657
1,3,23975.213006502858,24019,43.78699349714225
1,3,23983.700568096396,24019,35.29943190360427
1,4,24095.948827624983,24141,45.051172375016904
3,5,24118.08359020168,24185,66.91640979831936
1,3,24208.138815641552,24245,36.861184358447645
1,3,24324.667290092842,24358,33.33270990715755
3,9,24334.30713904753,24419,84.69286095246935
1,7,24460.167378914837,24514,53.83262108516283
3,9,24556.698479436804,24610,53.30152056319639
2,5,24614.01925693154,24676,61.98074306845956
1,4,24833.72749741118,24875,41.272502588821226
3,5,24870.483902497894,25001,130.51609750210628
1,5,24886.341742452954,24991,104.65825754704565
4,1,24909.9424805652,25010,100.05751943479845
6,8,25038.26118951967,25061,22.73881048032854
1,3,25174.577928656316,25213,38.422071343684365
1,3,25352.496873120934,25381,28.503126879066258
3,6,25413.687916928364,25459,45.31208307163615
1,6,25518.521097834513,25559,40.47890216548694
5,9,25621.158604260403,25651,29.84139573959692
1,4,25700.402910787456,25747,46.59708921254423
4,6,25777.146783042197,25797,19.853216957802942
1,3,25815.193571485135,25858,42.80642851486482
4,1,25860.60566592037,25926,65.3943340796286
1,5,25894.139542949353,25951,56.8604570506468
1,3,25970.481842199646,26010,39.51815780035395
1,5,25989.77447190547,26029,39.22552809452827
3,6,26091.825200009403,26121,29.17479999059651
1,2,26182.585659611817,26218,35.41434038818261
1,8,26246.291353234763,26291,44.70864676523706
1,9,26316.704374939673,26363,46.29562506032744
1,3,26371.85080329516,26423,51.14919670483869
3,9,26468.471012830458,26550,81.52898716954223
3,9,26476.401416036555,26550,73.59858396344498
2,8,26516.845708770295,26610,93.15429122970454
3,5,26731.433922605,26800,68.56607739500032
1,2,26741.516460165567,26787,45.48353983443303
1,4,26947.006240152223,26990,42.993759847777255
1,9,27279.526632874862,27377,97.47336712513788
3,9,27302.051279509073,27432,129.94872049092737
5,9,27360.32618558709,27458,97.67381441290854
1,6,27405.732080775248,27562,156.2679192247524
4,6,27478.633113247393,27552,73.36688675260666
1,3,27590.90353011579,27633,42.09646988421082
1,2,27699.833233362115,27721,21.166766637885303
1,5,27743.0539697713,27776,32.94603022870069
4,1,27823.897291824913,27852,28.102708175087173
1,7,27897.860257881897,27954,56.13974211810273
4,1,28413.845502929045,28448,34.154497070954676
1,4,28746.335331500155,28769,22.664668499844993
1,3,29208.400723626997,29242,33.599276373002795
4,1,29496.186973861557,29523,26.813026138443092
1,4,29945.805228397945,29971,25.19477160205497
1,4,30879.16760190107,30914,34.83239809892984
1,9,31288.497872657474,31347,58.502127342526364
1,3,31442.39517326933,31489,46.60482673066872
4,1,31901.645140909095,31928,26.354859090904938
1,9,32105.567980696887,32149,43.43201930311261
1,6,32301.310012004884,32368,66.6899879951161
1,9,32798.687652468696,32869,70.31234753130411
4,6,32900.22379602481,32944,43.77620397519058
1,8,33185.650980152765,33254,68.34901984723547
7,9,33365.184290985264,33392,26.815709014736058
1,3,33576.20096638257,33625,48.79903361743345
1,5,33899.01433051099,33935,35.98566948901134
1,7,34283.8879950181,34339,55.1120049819001
1,4,34347.10543544717,34401,53.89456455282925
1,5,34348.23286989606,34416,67.76713010393723
1,4,35381.15252423874,35421,39.847475761256646
1,9,35593.728913004285,35652,58.27108699571545
1,8,35979.71384916631,36058,78.2861508336864
4,1,36432.9890676576,36475,42.0109323423967
4,1,36770.37541357929,36806,35.62458642070851
1,3,36848.322246491116,36866,17.677753508884052
1,8,36957.13667169838,37007,49.863328301617
1,6,37051.41573391094,37127,75.58426608906302
1,3,37075.67999097121,37102,26.320009028786444
1,3,37825.834359207285,37867,41.16564079271484
4,1,38430.95123273494,38458,27.04876726506336
4,1,38682.176389773274,38719,36.82361022672558
1,3,38779.01744304052,38800,20.98255695948319
1,3,39242.647475656624,39271,28.35252434337599
1,9,39906.69152798564,39961,54.30847201435972
1,5,39991.08614763878,40054,62.91385236122005
1,4,40342.736758950065,40384,41.26324104993546
1,5,40728.582293128966,40771,42.41770687103417
1,5,41027.5550533846,41077,49.444946615396475
1,4,41729.35570042474,41771,41.64429957525863
1,9,42097.4294902432,42159,61.570509756798856
4,1,42305.390401190605,42351,45.60959880939481
4,1,42310.538423599544,42351,40.46157640045567
1,3,42362.65959033206,42383,20.34040966793691
1,3,42402.98422764882,42433,30.015772351180203
1,3,42632.36431151694,42660,27.63568848306022
4,1,42730.302616101384,42760,29.697383898615954
2,9,42763.01981301567,42839,75.98018698432861
1,5,42935.7590448574,42960,24.240955142602616
1,5,42977.59465867934,43033,55.40534132065659
1,3,42987.51003027079,43013,25.489969729213044
1,4,43035.20799372113,43147,111.79200627886894
1,3,43036.29228076301,43116,79.70771923699067
5,9,43046.57230670411,43383,336.4276932958892
6,8,43064.036119675846,43204,139.96388032415416
3,6,43075.29846449916,43351,275.7015355008407
1,4,43094.71210850865,43293,198.28789149135264
3,5,43114.138901053295,43180,65.86109894670517
1,4,43138.01654799107,43293,154.983452008928
1,3,43144.62525337531,43261,116.37474662469322
4,1,43152.041251528244,43363,210.95874847175583
4,1,43153.93839730873,43363,209.0616026912685
1,4,43180.702441432106,43293,112.29755856789416
2,9,43184.14921078146,43397,212.8507892185371
1,4,43691.66231909449,43715,23.33768090551166
1,3,44046.22837942294,44079,32.771620577063004
1,4,44187.51629689491,44223,35.48370310509199
2,7,44253.40235869064,44318,64.59764130935946
1,4,44465.14346348257,44505,39.85653651742905
1,3,45103.89586410205,45138,34.10413589794916
3,6,45167.75772545657,45212,44.24227454343054
4,1,45221.81496701221,45247,25.18503298779251
1,9,45296.45093305261,45365,68.54906694738747
1,3,45465.731034019416,45483,17.268965980583744
1,3,45508.144189285464,45536,27.855810714536346
1,3,45590.95040528639,45616,25.049594713607803
1,3,45598.505570359455,45616,17.494429640544695
3,6,45649.165820358656,45698,48.834179641344235
1,9,45745.921714391196,45801,55.078285608804435
1,3,45905.38030143001,45946,40.61969856999349
1,8,45926.90340843086,45980,53.09659156914131
3,9,45985.699532253646,46048,62.300467746354116
2,8,46052.43232360343,46129,76.56767639656755
3,9,46364.94412914855,46426,61.05587085145089
1,7,46462.92539335209,46540,77.07460664791142
6,7,46522.875005097536,46568,45.124994902464096
3,9,46571.30096084848,46670,98.69903915152099
4,1,46581.502181297976,46647,65.49781870202423
1,7,46772.25375793829,46810,37.74624206170847
3,9,46885.01113353404,46940,54.98886646595929
1,7,46964.48778957487,47069,104.5122104251277
1,8,46982.841956497716,47091,108.15804350228427
1,7,46997.84600846888,47069,71.1539915311223
3,5,47003.869646431485,47129,125.13035356851469
3,9,47037.489624737296,47178,140.51037526270375
1,9,47039.399824379085,47214,174.60017562091525
1,8,47259.370036687396,47335,75.62996331260365
1,6,47326.028088387284,47457,130.9719116127162
5,8,47341.00058944092,47423,81.9994105590813
3,8,47346.62797039798,47474,127.3720296020183
1,9,47385.584571961816,47487,101.41542803818447
1,7,47682.97799452389,47756,73.02200547610846
3,5,47737.18561754057,47830,92.81438245942991
3,9,47761.93702104308,47873,111.06297895692114
4,1,47773.160503030864,47853,79.83949696913623
4,1,47776.3037437004,47853,76.69625629959774
4,1,47780.97828942765,47853,72.02171057234955
4,9,47922.07902314414,48018,95.92097685585759
3,9,47940.00386385217,48073,132.9961361478272
1,5,47963.56763279966,48026,62.43236720033747
1,9,48258.267554097685,48558,299.7324459023148
3,5,48264.41611673206,48380,115.58388326793647
1,9,48288.96959777721,48518,229.0304022227865
1,6,48314.27214901299,48468,153.72785098700842
1,3,48346.55555110913,48428,81.44444889087026
2,5,48369.652670885676,48500,130.34732911432366
1,9,48390.67140121302,48518,127.32859878698218
